,actions
5852,16
5860,10
5868,9
5875,9
5888,16
5896,9
5904,9
5912,9
5920,9
5928,9
5936,9
5944,9
5952,10
5960,9
5968,9
5976,9
5984,9
5992,9
5999,9
6004,9
6012,9
6020,9
6028,9
6036,9
6044,9
6052,9
6060,9
6067,9
6080,17
6092,16
6100,9
6108,9
6116,9
6124,10
6132,9
6140,9
6148,9
6156,9
6163,9
6176,16
6188,15
6196,9
6204,9
6212,9
6224,15
6232,9
6239,9
6252,17
6264,15
6272,9
6280,9
6288,9
6296,9
6304,9
6312,9
6320,10
6328,9
6336,9
6344,9
6352,9
6360,9
6368,9
6376,9
6384,9
6392,9
6399,9
6413,17
6420,8
6428,9
6440,15
6448,9
6456,9
6464,9
6472,10
6480,9
6488,9
6496,9
6503,10
6517,17
6524,9
6532,9
6540,10
6548,9
6556,10
6564,10
6572,9
6580,10
6588,10
6600,15
6608,9
6616,9
6624,9
6632,10
6640,9
6648,9
6656,9
6664,9
6672,9
6680,9
6688,9
6696,9
6704,9
6712,9
6720,9
6728,9
6736,9
6744,9
6752,9
6760,9
6768,9
6776,9
6784,9
6792,9
6800,9
6808,9
6816,9
6824,9
6832,9
6839,9
6846,9
6853,9
6860,9
6868,9
6876,9
6883,9
6900,22
6907,9
6920,17
6928,10
6936,9
6944,9
6952,10
6960,9
6968,10
6980,15
6988,9
6996,9
7008,17
7020,15
7027,10
7040,16
7048,9
7055,9
7068,16
7075,9
7092,22
7099,9
7112,16
7124,15
7131,9
7144,16
7152,9
7160,9
7168,10
7176,9
7184,9
7192,9
7200,9
7208,9
7219,15
7232,16
7239,8
7252,16
7260,9
7268,9
7276,9
7283,9
7296,17
7304,9
7312,9
7324,15
7332,9
7340,9
7348,9
7355,9
7368,16
7376,10
7384,9
7392,10
7400,10
7408,9
7416,9
7424,9
7432,10
7440,9
7448,9
7460,15
7468,10
7476,10
7483,10
7496,16
7504,9
7512,10
7520,9
7528,9
7536,10
7544,10
7552,9
7560,10
7568,9
7576,9
7583,9
7589,8
7596,8
7604,10
7612,9
7620,10
7628,9
7636,9
7644,9
7652,10
7664,15
7672,9
7679,10
7696,22
7704,10
7712,10
7720,10
7728,9
7736,9
7744,9
7752,9
7760,10
7768,9
7776,9
7784,9
7792,9
7800,9
7808,9
7816,9
7824,10
7832,9
7840,9
7847,9
7860,17
7872,15
7880,9
7888,9
7896,9
7903,9
7916,17
7924,9
7932,10
7943,15
7956,16
7964,10
7980,22
7988,10
7996,9
8001,8
8008,9
8016,9
8024,9
8032,9
8044,15
8052,9
8060,9
8067,9
8080,17
8088,10
8104,21
8112,10
8120,9
8128,9
8136,10
8148,15
8155,10
8168,16
8176,9
8184,9
8192,9
8200,10
8208,9
8216,10
8228,15
8235,10
8248,17
8256,9
8264,10
8272,10
8280,9
8288,9
8296,9
8304,9
8312,9
8320,9
8328,10
8336,10
8344,9
8352,10
8360,10
8368,10
8376,10
8384,10
8392,9
8400,9
8408,9
8416,9
8424,10
8432,10
8440,10
8448,9
8456,9
8464,9
8472,10
8480,9
8488,9
8496,10
8504,9
8512,9
8520,10
8528,9
8536,9
8544,10
8552,9
8560,10
8572,15
8580,10
8587,9
8600,16
8608,9
8616,9
8624,9
8632,10
8640,10
8648,10
8656,9
8668,15
8676,9
8684,9
8692,9
8700,9
8708,9
8716,9
8724,9
8732,9
8740,9
8748,9
8756,9
8764,9
8772,9
8780,9
8788,9
8796,9
8804,9
8812,10
8820,9
8828,10
8835,9
8848,16
8856,9
8864,9
8872,10
8880,10
8888,10
8896,9
8904,9
8912,10
8923,14
8936,16
8944,10
8952,10
8960,10
8968,10
8976,9
8984,9
8992,9
9000,9
9005,8
9012,8
9020,9
9028,10
9036,10
9044,10
9052,9
9060,9
9068,10
9080,15
9088,9
9096,10
9103,9
9116,16
9124,10
9132,9
9144,15
9152,9
9160,9
9167,9
9180,16
9188,9
9196,10
9208,15
9216,10
9224,9
9232,9
9240,9
9248,9
9256,10
9264,10
9272,9
9280,9
9287,9
9300,16
9311,15
9324,16
9336,15
9344,9
9352,9
9359,9
9372,16
9380,9
9388,9
9396,9
9404,10
9412,9
9420,9
9428,9
9436,9
9448,15
9456,9
9463,9
9476,16
9484,9
9492,9
9500,9
9508,9
9516,10
9524,9
9532,10
9540,9
9548,9
9556,9
9564,9
9572,10
9580,10
9588,9
9596,9
9604,10
9612,10
9620,10
9628,10
9636,10
9644,9
9652,9
9660,10
9668,9
9676,9
9683,9
9700,22
9708,9
9720,15
9728,9
9736,9
9744,9
9752,10
9760,10
9768,9
9776,9
9784,9
9792,9
9800,10
9808,9
9815,9
9828,16
9836,9
9849,17
9856,8
9864,9
9872,9
9880,9
9888,10
9896,9
9908,14
9916,9
9924,10
9931,9
9944,16
9952,9
9960,9
9968,9
9976,9
9984,9
9996,15
10001,8
10008,8
10016,10
10024,9
10036,15
10044,9
10052,9
10060,9
10068,9
10076,9
10084,9
10092,10
10100,9
10107,9
10120,17
10128,10
10136,10
10144,9
10152,9
10160,9
10168,9
10176,9
10184,9
10192,9
10200,10
10208,9
10216,10
10224,9
10232,10
10240,9
10248,9
10256,9
10264,9
10272,10
10280,10
10288,9
10296,9
10313,22
10320,9
10328,10
10336,9
10344,9
10352,10
10360,10
10368,9
10376,10
10388,15
10396,9
10404,9
10411,9
10425,17
10432,9
10440,9
10448,10
10456,10
10464,10
10472,10
10484,15
10492,9
10499,10
10512,16
10520,9
10532,16
10540,9
10548,9
10556,10
10564,9
10572,9
10580,9
10588,9
10596,9
10604,9
10612,9
10620,10
10628,9
10636,9
10644,10
10652,9
10660,9
10668,9
10676,9
10684,10
10692,9
10700,9
10708,9
10716,9
10724,9
10732,9
10740,9
10748,9
10755,9
10772,22
10780,10
10787,9
10800,17
10812,15
10820,9
10828,9
10836,9
10844,9
10852,9
10860,10
10868,9
10876,9
10884,9
10892,9
10899,9
10913,17
10920,8
10928,10
10936,9
10944,10
10952,10
10959,9
10980,28
10988,9
10996,9
11001,8
11008,9
11016,9
11024,9
11032,9
11040,9
11048,9
11055,9
11068,16
11076,10
11084,9
11092,10
11100,9
11108,10
11116,10
11124,9
11132,9
11140,9
11148,10
11156,9
11164,9
11172,9
11180,10
11188,9
11196,10
11204,10
11212,9
11220,10
11228,9
11236,9
11244,10
11252,9
11260,10
11272,16
11280,9
11288,9
11296,9
11304,9
11312,9
11320,9
11327,9
11340,16
11348,10
11356,9
11364,10
11372,9
11380,9
11388,9
11396,9
11403,9
11420,23
11428,9
11436,9
11444,10
11452,10
11460,10
11468,9
11476,9
11488,15
11496,9
11504,9
11512,10
11520,9
11528,9
11535,9
11548,17
11556,9
11564,10
11572,9
11580,9
11592,15
11600,9
11608,9
11616,9
11624,9
11632,9
11640,9
11648,9
11656,9
11664,9
11672,9
11680,9
11688,9
11696,9
11704,9
11712,9
11720,9
11728,9
11736,10
11744,9
11751,9
11764,16
11776,15
11784,9
11791,9
11805,17
11812,8
11820,9
11828,10
11836,9
11844,9
11852,9
11860,9
11868,10
11876,9
11884,9
11892,10
11900,9
11908,10
11916,9
11928,15
11936,9
11944,9
11952,9
11960,9
11967,9
11980,17
11988,9
11996,10
12001,8
12008,8
12016,9
12024,9
12032,9
12040,10
12048,9
12056,10
12064,9
12072,10
12080,9
12088,9
12096,9
12104,9
12112,9
12120,9
12128,9
12136,9
12144,9
12152,10
12160,9
12168,9
12176,10
12184,9
12192,9
12200,9
12208,9
12216,9
12224,9
12232,9
12240,9
12248,9
12256,9
12264,9
12272,9
12280,10
12288,10
12296,9
12304,9
12312,9
12320,9
12328,9
12336,10
12344,9
12352,9
12360,10
12368,10
12376,10
12384,9
12392,9
12400,10
12408,9
12416,9
12424,10
12432,9
12444,15
12452,9
12460,9
12468,9
12476,9
12484,9
12492,9
12500,9
12508,10
12516,9
12524,9
12531,9
12544,16
12556,15
12564,9
12571,9
12584,16
12592,9
12600,9
12608,9
12616,10
12624,9
12632,9
12643,15
12656,17
12668,15
12676,10
12684,9
12692,9
12699,9
12712,16
12724,15
12732,9
12740,9
12748,9
12755,9
12768,16
12776,10
12784,9
12792,9
12800,9
12808,9
12816,10
12824,10
12836,15
12844,9
12852,9
12860,9
12868,9
12875,9
12888,16
12900,15
12908,9
12916,9
12924,9
12932,9
12939,9
12952,16
12960,9
12968,10
12976,9
12988,15
12996,9
13001,9
13008,9
13016,10
13024,9
13031,9
13044,16
13052,10
13060,9
13068,10
13080,15
13088,9
13096,9
13104,9
13112,9
13120,9
13127,9
13144,22
13152,10
13160,9
13168,9
13176,9
13184,10
13192,9
13200,9
13208,10
13216,9
13224,9
13232,9
13240,9
13247,9
13261,17
13268,8
13276,9
13284,10
13292,10
13300,10
13308,9
13316,9
13324,9
13336,15
13343,9
13365,29
13372,8
13380,10
13388,9
13396,9
13404,9
13412,9
13420,9
13428,9
13440,15
13448,9
13456,9
13464,9
13472,10
13480,9
13488,9
13496,10
13504,9
13511,9
13524,17
13532,10
13540,10
13548,9
13556,10
13564,9
13572,9
13580,9
13588,9
13596,9
13604,9
13612,9
13620,9
13628,9
13640,15
13648,9
13656,9
13664,9
13672,9
13679,9
13693,17
13700,9
13708,10
13716,9
13724,10
13732,10
13740,9
13748,9
13756,9
13764,9
13772,9
13780,9
13788,9
13795,10
13808,16
13816,9
13824,9
13831,9
13844,16
13852,9
13863,15
13876,17
13884,10
13892,9
13900,9
13908,9
13916,9
13928,15
13936,9
13944,9
13952,9
13959,10
13973,17
13980,8
13988,9
13996,10
14001,8
14008,8
14016,9
14024,9
14032,9
14040,10
14048,10
14056,9
14064,9
14076,15
14083,9
14096,17
14104,9
14112,9
14124,15
14131,9
14143,16
14160,21
14168,9
14176,10
14184,10
14192,10
14204,15
14212,9
14220,9
14228,9
14236,9
14244,10
14252,9
14259,9
14272,17
14280,9
14288,9
14296,9
14308,16
14315,9
14328,17
14340,15
14348,9
14356,9
14364,9
14371,9
14384,16
14392,9
14400,9
14412,15
14420,9
14428,9
14436,9
14444,9
14452,10
14459,9
14472,17
14480,9
14488,10
14496,9
14504,9
14512,9
14520,9
